what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1409036587973
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1409036587983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409036589174
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409036592194
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409036593588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409036599319
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409036650396
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409036655354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409036671394
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409036672523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409036675241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409036699567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409036699624
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409036704119
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409036705605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409036706967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409036708606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409036733748
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409036736593
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409036743085
started,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1409036757581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409036759333
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409036759969
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409036764274
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409036765694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409036779103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409036781749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409037723987
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409037726420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409037731159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409037873097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409037880068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409037886645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409037892413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409037916599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409037918054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409037967209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409037971133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409037979762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409037983245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409037984759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038006553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038032377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038034968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409038042335
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409038045173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409038046901
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409038072705
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038076490
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038080434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409038103217
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409038105124
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409038301608
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409038304468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409038377728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038380028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038409639
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038419222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409038434043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409038435123
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1409038436099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038436277
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409038437432
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409038441660
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409038441711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038443562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038445975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038445995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409038447836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038448479
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1409038448718
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409038449053
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409038449080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038449247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038456319
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409038457765
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409038457765
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409038484450
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038484635
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038484680
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409038495046
closed,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038495046
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038505501
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409038505501
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409038506433
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1409038507945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038508000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038510722
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1409038510725
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1409038510725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038515234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409038525950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409038526637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038527487
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1409038527968
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409038531275
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409038531322
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038544523
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409038544523
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409038545473
opened,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1409038546675
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1409038547543
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038549306
closed,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1409038549306
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409038550184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038551359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038552486
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1409038552489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1409038552489
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038561766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409038617544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038619428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038641838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409038656189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038657653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038680013
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409038705638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038707631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038741889
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409038779608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038784308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409038794801
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038794843
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038794885
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409038797056
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038805285
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038806768
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038807793
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409038811380
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409038815608
